n,m,p,mode,rep,seed,T_stop,converged,cycle_len,phi_0,phi_f,k_components,winner_flip,winner_item,consensus_frac,delta_FR
200,8,0.2,async,93,762765919,1313,1,0,82640,0,200,0,4,1.0,19.51
100,15,0.5,async,24,649455740,493,1,0,181646,0,100,0,11,1.0,69.94
20,8,0.2,sync,104,812656255,14,0,2,894,118,3,1,1,0.75,18.8
150,5,0.5,sync,72,1672700274,3,1,0,45194,0,150,1,3,1.0,7.76
50,8,0.05,async,97,904922974,634,1,0,1800,166,18,0,4,0.34,19.72
200,8,0.1,async,104,460060991,1835,1,0,41666,0,200,1,0,1.0,20.31
200,8,0.5,async,28,415305017,1146,1,0,211440,0,200,0,6,1.0,19.8
100,5,0.5,async,20,2132526658,551,1,0,19868,0,100,0,4,1.0,7.08
20,10,0.5,sync,19,1893094999,11,0,2,3036,696,1,1,1,0.6,30.7
150,12,0.5,sync,25,2078335023,4,1,0,267978,0,150,0,1,1.0,45.18666666666667
200,12,0.1,async,45,1139309115,1865,1,0,102602,0,200,1,1,1.0,45.76
50,8,0.2,async,0,303578271,299,1,0,5296,0,50,0,6,1.0,19.4
100,8,0.2,async,60,550211097,621,1,0,21448,0,100,1,4,1.0,19.74
50,15,0.1,async,116,1897048066,790,1,0,9114,738,5,1,4,1.0,68.48
50,5,0.05,async,78,586742865,998,1,0,654,54,32,1,1,0.6,8.2
50,10,0.05,sync,90,2105294854,18,0,2,2192,1740,1,1,1,0.34,21.04
150,15,0.2,sync,23,1725288656,7,1,0,156918,0,150,0,0,1.0,69.48
20,5,0.1,sync,112,1321952355,8,0,2,230,110,1,0,0,1.0,6.1
100,12,0.05,sync,29,1507154226,23,0,2,12628,818,3,1,0,1.0,47.38
50,8,0.3,sync,23,370430594,6,1,0,7544,0,50,1,3,1.0,18.32
100,10,0.5,async,40,1014848311,376,1,0,81506,0,100,0,3,1.0,31.1
100,8,0.05,async,15,1414389516,1039,1,0,5002,454,12,1,2,0.98,18.82
150,8,0.05,sync,10,687559268,10,1,0,12412,0,150,1,0,1.0,20.52
20,5,0.2,async,31,1637001695,181,1,0,274,72,12,1,0,0.75,7.7
20,5,0.7,sync,24,1444629536,5,1,0,1110,0,20,0,4,1.0,7.2
20,10,0.7,sync,67,1186382346,5,1,0,4456,0,20,1,3,1.0,28.4
20,15,0.5,async,33,1087538700,73,1,0,7618,0,20,0,10,1.0,64.0
50,15,0.2,async,59,120260393,391,1,0,17906,0,50,0,1,1.0,67.2
50,12,0.05,sync,55,54958846,21,0,2,3490,1740,1,1,0,0.96,47.28
150,8,0.1,sync,3,732060548,6,1,0,23640,0,150,1,0,1.0,20.16
50,5,0.1,async,89,835307770,535,1,0,868,0,50,1,0,1.0,7.72
200,15,0.7,sync,99,302251147,4,1,0,1039178,0,200,0,12,1.0,71.93
150,8,0.3,sync,2,1715046603,6,1,0,68958,0,150,0,7,1.0,19.76
200,12,0.2,async,69,1294645475,1299,1,0,194124,0,200,0,3,1.0,45.25
